;task_id;order;complete_time;n_started
0;1. One Box;1.0;1.09;274
1;2. Separated Boxes;2.0;1.69;265
2;3. Rotate a Pyramid;3.0;1.62;252
3;4. Match Silhouettes;4.0;2.13;246
5;5. Removing Objects;5.0;2.89;243
6;6. Stretch a Ramp;6.0;2.43;228
7;7. Max 2 Boxes;7.0;1.63;221
8;8. Combine 2 Ramps;8.0;2.02;217
9;9. Scaling Round Objects;9.0;2.57;200
23;Square Cross-Sections;10.0;3.2;203
12;Bird Fez;11.0;3.63;181
20;Pi Henge;12.0;2.22;163
4;45-Degree Rotations;13.0;2.74;156
21;Pyramids are Strange;14.0;4.0;152
13;Boxes Obscure Spheres;15.0;4.97;149
18;Object Limits;16.0;2.71;132
27;Warm Up;17.0;0.93;121
10;Angled Silhouette;18.0;2.21;129
25;Sugar Cones;19.0;1.44;126
24;Stranger Shapes;20.0;4.31;117
26;Tall and Small;21.0;4.44;103
22;Ramp Up and Can It;22.0;2.7;95
16;More Than Meets Your Eye;23.0;4.66;84
17;Not Bird;24.0;3.92;84
28;Zzz;26.0;2.82;79
14;Bull Market;27.0;7.9;70
15;Few Clues;28.0;5.26;60
19;Orange Dance;29.0;14.06;67
11;Bear Market;30.0;20.76;94
